rank,atom_id,classification,dispatchable_atom,no_op_status,pair_index,tile_id,source_action_id,action_id,transform,mean_weighted_combined_equal_share,mean_weighted_pose_equal_share,mean_weighted_seg_equal_share,component_positive_votes,pose_toxic_votes,pose_positive_votes,seg_positive_votes,worst_pose_delta_vs_c102
42,pair178_tile095_src099_act099_identity,component_positive_pose_safe,False,changes_c102_action_stream_if_built,178,95,99,99,identity,6.524025933469314e-07,1.500109863060214e-06,-8.477072697132826e-07,1,0,1,0,0.0
43,pair076_tile119_src094_act094_identity,component_positive_pose_risky,False,changes_c102_action_stream_if_built,76,119,94,94,identity,4.5801064245271053e-07,-1.2374135982506781e-06,1.6954242407033886e-06,1,1,1,2,-3.257241135164448e-06
44,pair462_tile088_src016_act016_identity,component_positive_pose_risky,False,changes_c102_action_stream_if_built,462,88,16,16,identity,3.5093142748676296e-07,-4.967758422265196e-07,8.477072697132827e-07,1,1,1,2,-1.3645194575178624e-06
45,pair459_tile087_src065_act065_identity,component_positive_pose_safe,False,changes_c102_action_stream_if_built,459,87,65,65,identity,2.5614938319626183e-07,2.5614938319626183e-07,0.0,1,0,1,0,0.0
46,pair546_tile082_src058_act058_identity,component_positive_pose_risky,False,changes_c102_action_stream_if_built,546,82,58,58,identity,5.366788706795557e-08,-4.184883013413686e-06,4.238550900481641e-06,1,1,1,2,-1.5802441421698072e-05
47,pair546_tile088_src025_act025_identity,component_positive_pose_risky,False,changes_c102_action_stream_if_built,546,88,25,25,identity,5.366788706795557e-08,-4.184883013413686e-06,4.238550900481641e-06,1,1,1,2,-1.5802441421698072e-05
48,pair338_tile089_src085_act085_identity,component_positive_pose_safe,False,changes_c102_action_stream_if_built,338,89,85,85,identity,2.9458862817049948e-08,8.771661325303325e-07,-8.477072697132827e-07,1,0,2,0,0.0
49,pair242_tile088_src026_act026_identity,component_positive_pose_risky,False,changes_c102_action_stream_if_built,242,88,26,26,identity,-5.984349565532164e-08,-2.6029750060719792e-06,2.5431315104166576e-06,1,2,0,2,-4.3506902467291455e-06
50,pair554_tile088_src039_act039_identity,component_positive_pose_risky,False,changes_c102_action_stream_if_built,554,88,39,39,identity,-6.51792491583429e-08,-6.51792491583429e-08,0.0,1,1,1,0,-5.11560656563353e-07
51,pair248_tile096_src104_act104_identity,component_positive_pose_risky,False,changes_c102_action_stream_if_built,248,96,104,104,identity,-8.391399663671108e-08,-2.6270455070533686e-06,2.5431315104166576e-06,1,2,0,2,-3.7666955883073116e-06
52,pair545_tile088_src036_act036_identity,component_positive_pose_risky,False,changes_c102_action_stream_if_built,545,88,36,36,identity,-1.6409627123199803e-07,-1.0118035409452806e-06,8.477072697132827e-07,1,1,1,2,-2.245551695491716e-06
53,pair562_tile086_src093_act093_identity,component_positive_pose_risky,False,changes_c102_action_stream_if_built,562,86,93,93,identity,-3.9181874332451104e-07,-3.7826672247312883e-06,3.390848481406777e-06,1,2,0,2,-6.803245380910362e-06
54,pair493_tile091_src047_act047_identity,component_positive_pose_risky,False,changes_c102_action_stream_if_built,493,91,47,47,identity,-6.883669316156403e-07,-3.231498442032325e-06,2.5431315104166847e-06,1,1,1,2,-7.200635489528254e-06
55,pair457_tile088_src039_act039_identity,component_positive_pose_risky,False,changes_c102_action_stream_if_built,457,88,39,39,identity,-7.074961998416532e-07,-1.5552131708317591e-06,8.47716970990106e-07,1,1,1,2,-2.8866689963637393e-06
56,pair210_tile111_src074_act074_identity,component_positive_pose_risky,False,changes_c102_action_stream_if_built,210,111,74,74,identity,-9.63665901111242e-07,-9.63665901111242e-07,0.0,1,1,1,0,-2.0970963290331058e-06
57,pair531_tile088_src006_act006_identity,component_positive_pose_risky,False,changes_c102_action_stream_if_built,531,88,6,6,identity,-1.2296424100454003e-06,-3.8192543905529416e-07,-8.47716970990106e-07,1,1,1,0,-2.1572451025490965e-06
58,pair116_tile086_src052_act052_identity,component_positive_pose_risky,False,changes_c102_action_stream_if_built,116,86,52,52,identity,-1.7496719972834358e-06,-6.835935018116778e-06,5.086263020833342e-06,1,2,0,2,-1.1652370768898374e-05
59,pair550_tile087_src018_act018_identity,component_positive_pose_risky,False,changes_c102_action_stream_if_built,550,87,18,18,identity,-1.8428114748300701e-06,-2.6905187445433523e-06,8.477072697132827e-07,1,1,1,2,-8.452925468488024e-06
60,pair011_tile088_src058_act058_identity,component_positive_pose_risky,False,changes_c102_action_stream_if_built,11,88,58,58,identity,-2.333298376272012e-06,-8.267268666818623e-06,5.933970290546611e-06,1,2,0,2,-1.0264633695795986e-05
61,pair595_tile086_src041_act041_identity,component_positive_pose_risky,False,changes_c102_action_stream_if_built,595,86,41,41,identity,-3.994922601833198e-06,-5.690346842536587e-06,1.6954242407033886e-06,1,1,1,2,-1.0635841513127002e-05
62,pair342_tile089_src022_act022_identity,component_positive_pose_risky,False,changes_c102_action_stream_if_built,342,89,22,22,identity,-4.577679958470278e-06,-6.273104199173653e-06,1.6954242407033748e-06,1,2,0,2,-1.107161702484327e-05
63,pair507_tile088_src040_act040_identity,component_positive_pose_risky,False,changes_c102_action_stream_if_built,507,88,40,40,identity,-4.964638227039323e-06,-4.964638227039323e-06,0.0,1,1,1,0,-9.006507308488134e-06
64,pair596_tile087_src096_act096_identity,component_positive_pose_risky,False,changes_c102_action_stream_if_built,596,87,96,96,identity,-5.529567619693827e-06,-5.953426105188872e-06,4.2385848549504623e-07,1,1,1,2,-2.438990406800768e-05
65,pair596_tile099_src072_act072_identity,component_positive_pose_risky,False,changes_c102_action_stream_if_built,596,99,72,72,identity,-5.529567619693827e-06,-5.953426105188872e-06,4.2385848549504623e-07,1,1,1,2,-2.438990406800768e-05
66,pair544_tile088_src075_act075_identity,component_positive_pose_risky,False,changes_c102_action_stream_if_built,544,88,75,75,identity,-5.889693498252403e-06,-3.346561987835718e-06,-2.5431315104166847e-06,1,1,1,0,-8.57764340747275e-06
67,pair478_tile089_src086_act086_identity,component_positive_pose_risky,False,changes_c102_action_stream_if_built,478,89,86,86,identity,-6.644221946907542e-06,-8.33964618761093e-06,1.6954242407033886e-06,1,1,1,2,-1.595681973535255e-05
68,pair503_tile087_src081_act081_identity,component_positive_pose_risky,False,changes_c102_action_stream_if_built,503,87,81,81,identity,-1.1110353627899047e-05,-1.195806089761233e-05,8.477072697132827e-07,1,2,0,2,-2.1304266103238807e-05
69,pair501_tile087_src042_act042_identity,component_positive_pose_risky,False,changes_c102_action_stream_if_built,501,87,42,42,identity,-1.1395051569743134e-05,-1.3938183080159791e-05,2.5431315104166576e-06,1,2,0,2,-2.4896001963340657e-05
70,pair335_tile089_src091_act091_identity,component_positive_pose_risky,False,changes_c102_action_stream_if_built,335,89,91,91,identity,-1.1684513728384108e-05,-1.2532225848735802e-05,8.477121203516943e-07,1,1,1,2,-2.3133427069129396e-05
71,pair052_tile088_src013_act013_identity,component_positive_pose_risky,False,changes_c102_action_stream_if_built,52,88,13,13,identity,-1.3605345188399717e-05,-1.4453052458113e-05,8.477072697132827e-07,1,2,0,2,-2.5738427875180958e-05
72,pair278_tile089_src065_act065_identity,component_positive_pose_risky,False,changes_c102_action_stream_if_built,278,89,65,65,identity,-1.5616453937779297e-05,-1.646416120749258e-05,8.477072697132827e-07,1,1,1,2,-2.987100753373242e-05
73,pair599_tile086_src043_act043_identity,component_positive_pose_risky,False,changes_c102_action_stream_if_built,599,86,43,43,identity,-1.960890197185314e-05,-1.876119470213986e-05,-8.477072697132827e-07,1,1,1,0,-3.475639946132089e-05
74,pair106_tile083_src050_act050_identity,pose_toxic_pair,False,changes_c102_action_stream_if_built,106,83,50,50,identity,7.514813066118338e-06,7.514813066118338e-06,0.0,2,0,2,0,0.0
75,pair196_tile113_src013_act013_identity,neutral_or_negative,False,changes_c102_action_stream_if_built,196,113,13,13,identity,-6.762804807186933e-07,1.714267889945894e-07,-8.477072697132826e-07,0,0,1,0,0.0
76,pair196_tile113_src015_act013_amp_shift_-2,neutral_or_negative,False,changes_c102_action_stream_if_built,196,113,15,13,amp_shift_-2,-6.877053395247718e-07,1.6000193018851075e-07,-8.477072697132826e-07,0,0,1,0,0.0
77,pair598_tile083_src016_act016_identity,neutral_or_negative,False,changes_c102_action_stream_if_built,598,83,16,16,identity,-7.163290402428364e-07,1.3138308010886465e-07,-8.477121203517011e-07,0,0,2,0,0.0
78,pair067_tile088_src100_act100_identity,pose_toxic_pair,False,changes_c102_action_stream_if_built,67,88,100,100,identity,-7.941813794969452e-07,1.748950130919726e-06,-2.543131510416671e-06,0,0,1,0,0.0
79,pair540_tile088_src023_act023_identity,pose_toxic,False,changes_c102_action_stream_if_built,540,88,23,23,identity,-1.3187911634025757e-06,-8.949375285459343e-07,-4.2385363485664135e-07,0,1,1,0,-3.591017069588459e-06
80,pair542_tile084_src099_act099_identity,pose_toxic,False,changes_c102_action_stream_if_built,542,84,99,99,identity,-1.4374112211338568e-06,-1.8612672813097073e-06,4.2385606017585054e-07,0,2,0,2,-9.355107139876799e-06
81,pair542_tile088_src037_act037_identity,pose_toxic,False,changes_c102_action_stream_if_built,542,88,37,37,identity,-1.4374112211338568e-06,-1.8612672813097073e-06,4.2385606017585054e-07,0,2,0,2,-9.355107139876799e-06
82,pair542_tile098_src081_act081_identity,pose_toxic,False,changes_c102_action_stream_if_built,542,98,81,81,identity,-1.4374112211338568e-06,-1.8612672813097073e-06,4.2385606017585054e-07,0,2,0,2,-9.355107139876799e-06
83,pair585_tile087_src002_act002_identity,pose_toxic,False,changes_c102_action_stream_if_built,585,87,2,2,identity,-1.6485892977992751e-06,-1.6485892977992751e-06,0.0,0,2,0,0,-7.051004153430476e-06
84,pair104_tile083_src015_act015_identity,pose_toxic,False,changes_c102_action_stream_if_built,104,83,15,15,identity,-1.651162997683359e-06,-8.034557279700764e-07,-8.477072697132826e-07,0,1,0,0,-8.034557279700764e-07
85,pair151_tile112_src102_act102_identity,neutral_or_negative,False,changes_c102_action_stream_if_built,151,112,102,102,identity,-1.7528478647799915e-06,7.902836456366661e-07,-2.5431315104166576e-06,0,0,1,0,0.0
86,pair105_tile099_src092_act092_identity,pose_toxic_pair,False,changes_c102_action_stream_if_built,105,99,92,92,identity,-1.8561397543880655e-06,-1.607155136846769e-07,-1.6954242407033886e-06,0,1,0,0,-1.607155136846769e-07
87,pair151_tile112_src104_act100_amp_shift_-2,neutral_or_negative,False,changes_c102_action_stream_if_built,151,112,104,100,amp_shift_-2,-2.0167456747325683e-06,1.374093105397372e-06,-3.3908387801299402e-06,0,0,1,0,0.0
88,pair119_tile086_src042_act042_identity,neutral_or_negative,False,changes_c102_action_stream_if_built,119,86,42,42,identity,-2.0520516949709087e-06,4.910798154457625e-07,-2.543131510416671e-06,0,0,1,0,0.0
89,pair197_tile090_src093_act089_amp_shift_-2,pose_toxic_pair,False,changes_c102_action_stream_if_built,197,90,93,89,amp_shift_-2,-2.0776501390015544e-06,-3.822258982981658e-07,-1.6954242407033886e-06,0,1,0,0,-3.822258982981658e-07
90,pair089_tile084_src005_act005_identity,pose_toxic,False,changes_c102_action_stream_if_built,89,84,5,5,identity,-2.359679345359664e-06,-1.511967225007963e-06,-8.477121203517011e-07,0,1,0,0,-1.511967225007963e-06
91,pair519_tile088_src092_act092_identity,pose_toxic,False,changes_c102_action_stream_if_built,519,88,92,92,identity,-2.705019912985762e-06,-1.4334541577774195e-06,-1.2715657552083424e-06,0,1,1,0,-8.140880252661357e-06
92,pair137_tile088_src088_act088_identity,pose_toxic,False,changes_c102_action_stream_if_built,137,88,88,88,identity,-2.8076236383736042e-06,-1.959916368660321e-06,-8.477072697132826e-07,0,1,0,0,-1.959916368660321e-06
93,pair551_tile088_src084_act084_identity,pose_toxic,False,changes_c102_action_stream_if_built,551,88,84,84,identity,-2.8613803702687686e-06,-1.1659561295653936e-06,-1.695424240703375e-06,0,1,0,0,-1.1659561295653936e-06
94,pair174_tile086_src093_act093_identity,neutral_or_negative,False,changes_c102_action_stream_if_built,174,86,93,93,identity,-3.0226827397252754e-06,3.681560404046648e-07,-3.3908387801299402e-06,0,0,1,0,0.0
95,pair141_tile086_src007_act007_identity,pose_toxic,False,changes_c102_action_stream_if_built,141,86,7,7,identity,-3.139153337030029e-06,-1.4437290963266404e-06,-1.6954242407033886e-06,0,1,0,0,-1.4437290963266404e-06
96,pair578_tile086_src093_act093_identity,pose_toxic,False,changes_c102_action_stream_if_built,578,86,93,93,identity,-3.306872663207085e-06,-4.437152256583732e-06,1.1302795933766467e-06,0,2,0,2,-1.7116485624263943e-05
97,pair578_tile087_src040_act040_identity,pose_toxic,False,changes_c102_action_stream_if_built,578,87,40,40,identity,-3.306872663207085e-06,-4.437152256583732e-06,1.1302795933766467e-06,0,2,0,2,-1.7116485624263943e-05
98,pair578_tile105_src044_act044_identity,pose_toxic,False,changes_c102_action_stream_if_built,578,105,44,44,identity,-3.306872663207085e-06,-4.437152256583732e-06,1.1302795933766467e-06,0,2,0,2,-1.7116485624263943e-05
99,pair167_tile086_src000_act000_identity,pose_toxic,False,changes_c102_action_stream_if_built,167,86,0,0,identity,-3.5160308276436857e-06,-1.251823462369221e-07,-3.3908484814067636e-06,0,1,0,0,-1.251823462369221e-07
100,pair119_tile086_src044_act040_amp_shift_-2,neutral_or_negative,False,changes_c102_action_stream_if_built,119,86,44,40,amp_shift_-2,-3.5524858274240626e-06,6.860650730575787e-07,-4.238550900481641e-06,0,0,1,0,0.0
101,pair581_tile088_src083_act079_amp_shift_-2,pose_toxic,False,changes_c102_action_stream_if_built,581,88,83,79,amp_shift_-2,-3.740958857015817e-06,-2.045544317589252e-06,-1.6954145394265652e-06,0,1,0,0,-2.045544317589252e-06
102,pair067_tile088_src102_act098_amp_shift_-2,pose_toxic_pair,False,changes_c102_action_stream_if_built,67,88,102,98,amp_shift_-2,-4.155240374873004e-06,8.331537624704181e-08,-4.238555751120046e-06,0,0,1,0,0.0
103,pair212_tile111_src069_act069_identity,pose_toxic,False,changes_c102_action_stream_if_built,212,111,69,69,identity,-4.246703261445829e-06,-2.551288722019264e-06,-1.6954145394265652e-06,0,1,0,0,-2.551288722019264e-06
104,pair449_tile092_src080_act080_identity,pose_toxic,False,changes_c102_action_stream_if_built,449,92,80,80,identity,-4.258660637633183e-06,-2.011458778994685e-08,-4.238546049843236e-06,0,1,0,0,-2.0114587789946847e-08
105,pair104_tile083_src017_act013_amp_shift_-2,pose_toxic,False,changes_c102_action_stream_if_built,104,83,17,13,amp_shift_-2,-4.326144221128962e-06,-9.352957397221846e-07,-3.390848481406777e-06,0,1,0,0,-9.352957397221846e-07
106,pair177_tile086_src023_act023_identity,pose_toxic,False,changes_c102_action_stream_if_built,177,86,23,23,identity,-4.6281815358319325e-06,-3.896257847118724e-07,-4.238555751120059e-06,0,2,0,0,-6.894926115764554e-07
107,pair046_tile108_src084_act084_identity,pose_toxic,False,changes_c102_action_stream_if_built,46,108,84,84,identity,-4.825960278845587e-06,-4.825960278845587e-06,0.0,0,1,0,0,-4.825960278845587e-06
108,pair046_tile108_src086_act084_amp_shift_-2,pose_toxic,False,changes_c102_action_stream_if_built,46,108,86,84,amp_shift_-2,-4.826827871430088e-06,-4.826827871430088e-06,0.0,0,1,0,0,-4.826827871430088e-06
109,pair495_tile089_src061_act061_identity,pose_toxic,False,changes_c102_action_stream_if_built,495,89,61,61,identity,-5.015010496839396e-06,-6.710434737542785e-06,1.6954242407033886e-06,0,2,0,2,-9.53659219300012e-06
