row_type,atom_id,name,stream,bytes,byte_delta,sha256,rate_score_cost,rate_score_delta,known_posenet_delta,known_segnet_delta,known_score_delta,benefit_score_estimate,benefit_per_byte_estimate,break_even_bytes_at_rate_only,byte_savings_estimate,codec,candidate_index,candidate_archive_path,candidate_archive_sha256,source_path,source_sha256,source_json_pointer
action_record,71,71,,,,,,,3.2177318385497966e-07,3.3908387801299538e-06,,3.712611963984947e-06,,5,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_compiler_p6_trace_ev_20260503_codex/c067_pr75_actions_top40_p6/manifest.json,fc53053378d3addfebb97250986926c8c8e5677f9a506accb26c71b3e1cc804b,$.selected_records
action_record,79,79,,,,,,,1.4773004609159295e-06,1.6954242407033886e-06,,3.1727247016193283e-06,,4,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_compiler_p6_trace_ev_20260503_codex/c067_pr75_actions_top40_p6/manifest.json,fc53053378d3addfebb97250986926c8c8e5677f9a506accb26c71b3e1cc804b,$.selected_records
action_record,81,81,,,,,,,-2.7068841281437816e-06,5.933970290546625e-06,,3.227086162402857e-06,,4,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_compiler_p6_trace_ev_20260503_codex/c067_pr75_actions_top40_p6/manifest.json,fc53053378d3addfebb97250986926c8c8e5677f9a506accb26c71b3e1cc804b,$.selected_records
action_record,83,83,,,,,,,2.765976381959375e-07,4.238546049843236e-06,,4.515143688039162e-06,,6,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_compiler_p6_trace_ev_20260503_codex/c067_pr75_actions_top40_p6/manifest.json,fc53053378d3addfebb97250986926c8c8e5677f9a506accb26c71b3e1cc804b,$.selected_records
action_record,86,86,,,,,,,9.066955999123341e-07,1.6954242407033886e-06,,2.6021198406157294e-06,,3,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_compiler_p6_trace_ev_20260503_codex/c067_pr75_actions_top40_p6/manifest.json,fc53053378d3addfebb97250986926c8c8e5677f9a506accb26c71b3e1cc804b,$.selected_records
action_record,86,86,,,,,,,2.45742024052831e-06,2.5431315104166576e-06,,5.0005517509449674e-06,,7,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_compiler_p6_trace_ev_20260503_codex/c067_pr75_actions_top40_p6/manifest.json,fc53053378d3addfebb97250986926c8c8e5677f9a506accb26c71b3e1cc804b,$.selected_records
action_record,9,9,,,,,,,9.407753728077361e-07,1.0172526041666671e-05,,1.1113301414474367e-05,,16,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_compiler_p6_trace_ev_20260503_codex/c067_pr75_actions_top40_p6/manifest.json,fc53053378d3addfebb97250986926c8c8e5677f9a506accb26c71b3e1cc804b,$.selected_records
action_record,9,9,,,,,,,2.1389667793061593e-07,5.933979991823435e-06,,6.147876669754037e-06,,9,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_compiler_p6_trace_ev_20260503_codex/c067_pr75_actions_top40_p6/manifest.json,fc53053378d3addfebb97250986926c8c8e5677f9a506accb26c71b3e1cc804b,$.selected_records
action_record,90,90,,,,,,,2.0436782741733523e-07,6.781687261536717e-06,,6.986055088954073e-06,,10,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_compiler_p6_trace_ev_20260503_codex/c067_pr75_actions_top40_p6/manifest.json,fc53053378d3addfebb97250986926c8c8e5677f9a506accb26c71b3e1cc804b,$.selected_records
action_record,91,91,,,,,,,-1.0469505123380986e-07,3.3908436307683587e-06,,3.286148579534549e-06,,4,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_compiler_p6_trace_ev_20260503_codex/c067_pr75_actions_top40_p6/manifest.json,fc53053378d3addfebb97250986926c8c8e5677f9a506accb26c71b3e1cc804b,$.selected_records
action_record,92,92,,,,,,,-8.531106285099134e-07,3.3908484814067636e-06,,2.5377378528968435e-06,,3,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_compiler_p6_trace_ev_20260503_codex/c067_pr75_actions_top40_p6/manifest.json,fc53053378d3addfebb97250986926c8c8e5677f9a506accb26c71b3e1cc804b,$.selected_records
action_record,93,93,,,,,,,-9.82568082455058e-07,6.7816775602599075e-06,,5.799109477804877e-06,,8,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_compiler_p6_trace_ev_20260503_codex/c067_pr75_actions_top40_p6/manifest.json,fc53053378d3addfebb97250986926c8c8e5677f9a506accb26c71b3e1cc804b,$.selected_records
action_record,94,94,,,,,,,1.1117641328625455e-06,2.2040466622759894e-05,,2.3152230755622426e-05,,34,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_compiler_p6_trace_ev_20260503_codex/c067_pr75_actions_top40_p6/manifest.json,fc53053378d3addfebb97250986926c8c8e5677f9a506accb26c71b3e1cc804b,$.selected_records
action_record,95,95,,,,,,,1.542865421633966e-06,8.477111502240092e-06,,1.0019976923874045e-05,,15,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_compiler_p6_trace_ev_20260503_codex/c067_pr75_actions_top40_p6/manifest.json,fc53053378d3addfebb97250986926c8c8e5677f9a506accb26c71b3e1cc804b,$.selected_records
archive,archive,archive.zip,,276342,,0ec53e5b871149ed6eea56c0b9bcca3baec998d5bfad4f371979e0c90e62cea8,0.184004794824,,,,,,,,,,,,,/Users/adpena/Projects/pact/experiments/results/lightning_batch/exact_eval_c067_pr75_qp1_top40_p6_t4_awsfix1_20260503T0630Z/archive.zip,0ec53e5b871149ed6eea56c0b9bcca3baec998d5bfad4f371979e0c90e62cea8,
component_trace_pair,component_trace_pair:105,pair_105,,,,,,,0.002603838685899973,0.0007069905987009406,,0.0004259296165359442,,639,,,,,,/Users/adpena/Projects/pact/experiments/results/lightning_batch/exact_eval_c067_pr75_qp1_top40_p6_t4_awsfix1_20260503T0630Z/component_trace.json,205c912fe30c298558f6b412668546ced14f5fe5ff5d352d6951596a7a6d9843,
component_trace_pair,component_trace_pair:106,pair_106,,,,,,,0.0024728255812078714,0.0006001790752634406,,0.0003926256389011673,,589,,,,,,/Users/adpena/Projects/pact/experiments/results/lightning_batch/exact_eval_c067_pr75_qp1_top40_p6_t4_awsfix1_20260503T0630Z/component_trace.json,205c912fe30c298558f6b412668546ced14f5fe5ff5d352d6951596a7a6d9843,
component_trace_pair,component_trace_pair:108,pair_108,,,,,,,0.0019434108398854733,0.0008087158203125,,0.00036473904081813093,,547,,,,,,/Users/adpena/Projects/pact/experiments/results/lightning_batch/exact_eval_c067_pr75_qp1_top40_p6_t4_awsfix1_20260503T0630Z/component_trace.json,205c912fe30c298558f6b412668546ced14f5fe5ff5d352d6951596a7a6d9843,
component_trace_pair,component_trace_pair:125,pair_125,,,,,,,0.0019921865314245224,0.0005849202862009406,,0.000333211143313009,,500,,,,,,/Users/adpena/Projects/pact/experiments/results/lightning_batch/exact_eval_c067_pr75_qp1_top40_p6_t4_awsfix1_20260503T0630Z/component_trace.json,205c912fe30c298558f6b412668546ced14f5fe5ff5d352d6951596a7a6d9843,
component_trace_pair,component_trace_pair:128,pair_128,,,,,,,0.002404651138931513,0.0007171630859375,,0.00040405626880251396,,606,,,,,,/Users/adpena/Projects/pact/experiments/results/lightning_batch/exact_eval_c067_pr75_qp1_top40_p6_t4_awsfix1_20260503T0630Z/component_trace.json,205c912fe30c298558f6b412668546ced14f5fe5ff5d352d6951596a7a6d9843,
