pair,ep854_delivered_d_pose,pu2_live_d_pose,map_d_pose,map_pose_delta_vs_pu2_live,map_flips_vs_gt,map_flips_vs_live,sub_final_repaired,sub_final_d_pose_after_repair,sub_map_repair_repaired,sub_map_repair_d_pose_after_repair,ep854_k4_best_d_pose,ep854_k4_ratio_vs_bar,ep854_k4_envelope_status,ep854_best_k6_d_pose,ep854_best_k6_source,ep854_best_k8_d_pose,ep854_best_k8_source
74,14.60752010345459,0.21680401265621185,0.20964539051055908,-0.007158622145652771,1498,1031,True,0.0006094241980463266,True,0.0007062645745463669,,,k4_envelope_not_measured_for_pair,,,,
75,6.752834320068359,0.00042376271449029446,0.04909811541438103,0.04867435269989073,1272,617,False,0.00042376271449029446,False,0.04909811541438103,,,k4_envelope_not_measured_for_pair,,,,
76,157.42625427246094,0.0006168948020786047,0.10907932370901108,0.10846242890693247,991,508,False,0.0006168948020786047,False,0.10907932370901108,,,k4_envelope_not_measured_for_pair,,,,
77,157.9381561279297,0.0005373511812649667,0.16592518985271454,0.16538783867144957,1066,589,False,0.0005373511812649667,False,0.16592518985271454,,,k4_envelope_not_measured_for_pair,,,,
78,2.2218680381774902,0.0015805404400452971,0.002186363795772195,0.0006058233557268977,1315,684,False,0.0015805404400452971,False,0.002186363795772195,,,k4_envelope_not_measured_for_pair,,,,
79,94.26229858398438,0.002492134226486087,0.13831984996795654,0.13582771574147046,1668,791,False,0.002492134226486087,False,0.13831984996795654,,,k4_envelope_not_measured_for_pair,,,,
80,171.99420166015625,0.0004973321338184178,0.0005707727978006005,7.344066398218274e-05,1130,454,False,0.0004973321338184178,False,0.0005707727978006005,,,k4_envelope_not_measured_for_pair,,,,
81,72.44780731201172,0.00025356668629683554,0.005563508719205856,0.005309942032909021,1094,528,False,0.00025356668629683554,False,0.005563508719205856,,,k4_envelope_not_measured_for_pair,,,,
82,128.61805725097656,0.00041166829760186374,0.01755794696509838,0.017146278667496517,1073,534,False,0.00041166829760186374,False,0.01755794696509838,,,k4_envelope_not_measured_for_pair,,,,
83,46.993743896484375,0.00044164282735437155,0.00040543300565332174,-3.6209821701049805e-05,1272,435,False,0.00044164282735437155,False,0.00040543300565332174,,,k4_envelope_not_measured_for_pair,,,,
84,158.10487365722656,0.0012178939068689942,0.002145470818504691,0.0009275769116356969,1070,555,False,0.0012178939068689942,False,0.002145470818504691,,,k4_envelope_not_measured_for_pair,,,,
